|     obsdate |  UL5_4 | e_UL5_4 |    mag | e_mag | observatory | filter |                                                                                        image |
|  59638.0966 | 18.318 |   0.029 | 15.428 | 0.036 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59638.0966_600.com.fits |
|  59639.0854 | 18.379 |    0.03 | 15.392 | 0.035 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59639.0854_600.com.fits |
|  59640.0696 | 18.544 |   0.029 | 15.447 | 0.034 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59640.0696_600.com.fits |
|  59641.1266 | 18.316 |    0.03 |  15.53 | 0.037 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59641.1266_600.com.fits |
|  59642.1222 | 18.298 |   0.029 | 15.547 | 0.037 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59642.1222_600.com.fits |
|  59644.1125 | 18.159 |   0.031 | 15.574 |  0.04 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59644.1125_480.com.fits |
|  59645.1122 | 18.544 |   0.028 | 15.597 | 0.034 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59645.1122_600.com.fits |
|  59646.1092 | 18.261 |   0.029 | 15.692 | 0.039 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59646.1092_600.com.fits |
|  59648.0702 | 18.557 |   0.028 | 15.704 | 0.036 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59648.0702_600.com.fits |
|   59649.102 | 18.405 |   0.028 | 15.718 | 0.036 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59649.102_600.com.fits |
|  59651.1012 | 18.167 |    0.03 | 15.795 | 0.042 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59651.1012_600.com.fits |
|  59652.0892 | 18.195 |    0.03 | 15.878 | 0.043 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59652.0892_600.com.fits |
|   59653.113 | 17.704 |   0.034 |  15.81 | 0.053 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59653.113_480.com.fits |
|  59654.0878 | 17.915 |   0.032 | 15.911 | 0.049 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59654.0878_600.com.fits |
|  59656.0808 | 17.855 |   0.032 | 15.962 |  0.05 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59656.0808_600.com.fits |
|  59657.0872 | 17.829 |   0.033 | 16.078 | 0.056 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59657.0872_600.com.fits |
|  59659.0782 |  18.29 |    0.03 | 16.011 | 0.043 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59659.0782_600.com.fits |
|  59661.0818 | 18.427 |   0.027 | 16.055 | 0.041 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59661.0818_600.com.fits |
|  59662.0755 | 17.981 |    0.03 | 16.224 | 0.055 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59662.0755_480.com.fits |
|  59663.0744 |  18.47 |   0.027 | 16.143 | 0.041 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59663.0744_600.com.fits |
|   59664.074 | 18.387 |   0.027 | 16.175 | 0.043 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59664.074_600.com.fits |
|  59665.0726 | 18.392 |   0.028 | 16.289 | 0.046 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59665.0726_600.com.fits |
|   59667.071 | 18.452 |   0.028 |  16.27 | 0.044 |         KCT |      r |  /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59667.071_600.com.fits |
|  59668.0698 | 18.102 |    0.03 | 16.274 | 0.053 |         KCT |      r | /data2/SN2021aefx_220627/KCT_STX16803/r/aligned/combined/NGC1566_KCT_59668.0698_600.com.fits |
|  59544.2286 |  17.82 |   0.043 | 12.695 | 0.043 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59544.2286_600.com.fits |
|  59545.2192 |  17.99 |   0.041 | 12.704 | 0.041 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59545.2192_600.com.fits |
|  59546.2198 | 17.982 |   0.041 | 12.712 | 0.041 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59546.2198_600.com.fits |
|  59547.2202 | 17.974 |   0.041 |  12.73 | 0.041 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59547.2202_600.com.fits |
|  59548.2214 |  17.87 |   0.042 | 12.776 | 0.042 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59548.2214_600.com.fits |
|  59549.2048 | 18.014 |   0.041 | 12.786 | 0.041 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59549.2048_600.com.fits |
|  59551.1894 | 17.743 |   0.043 |  12.85 | 0.044 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59551.1894_600.com.fits |
|  59552.2075 | 17.721 |   0.043 | 12.889 | 0.044 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59552.2075_480.com.fits |
|  59553.2056 | 18.159 |   0.041 | 12.939 | 0.041 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59553.2056_600.com.fits |
|  59554.1894 | 17.899 |   0.041 | 12.995 | 0.042 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59554.1894_600.com.fits |
|  59555.1908 | 17.944 |   0.041 | 13.071 | 0.042 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59555.1908_600.com.fits |
|  59556.1912 |  17.83 |   0.042 | 13.153 | 0.043 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59556.1912_600.com.fits |
|  59557.1922 |  18.04 |   0.041 | 13.242 | 0.041 |         KCT |      i | /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59557.1922_600.com.fits |
|   59558.192 | 17.879 |   0.041 | 13.343 | 0.042 |         KCT |      i |  /data2/SN2021aefx_220627/KCT_STX16803/i/aligned/combined/NGC1566_KCT_59558.192_600.com.fits |
